nom_rue,lien_page,filename,lat,lon,date
Danielle Casanova,/Danielle_Casanova,DanielleCasanova.html,48.109,-1.6484,2017-03-20
Marie-Claude Vaillant-Couturier,/Marie-Claude_Vaillant-Couturier,MarieClaudeVaillantCouturier.html,48.1098241,-1.6581147,None
Allée Adèle de Bretagne,/All%C3%A9e_Ad%C3%A8le_de_Bretagne,AlléeAdèledeBretagne.html,48.104399,-1.6514964,None
Marie et Simone Alizon,/Marie_et_Simone_Alizon,MarieetSimoneAlizon.html,0,0,None
Rue Marie et Simone Alizon,/Rue_Marie_et_Simone_Alizon,RueMarieetSimoneAlizon.html,48.107527,-1.670456,1953-04-13
Promenade Marie Allo,/Promenade_Marie_Allo,PromenadeMarieAllo.html,48.123975,-1.677641,2015-03-09
Marion du Faouët,/Marion_du_Faou%C3%ABt,MarionduFaouët.html,48.10679,-1.69631,1998-04-06
Suzanne Lenqlen,/Suzanne_Lenqlen,SuzanneLenqlen.html,48.1228,-1.6699,None
Ambroisine Garnier-Leray,/Ambroisine_Garnier-Leray,AmbroisineGarnierLeray.html,48.10124,-1.63067,2019-04-01
Rue Julie d'Angennes,/Rue_Julie_d%27Angennes,RueJuliedAngennes.html,48.1291323,-1.6994521,1995-05-02
Place Susan B. Anthony,/Place_Susan_B._Anthony,PlaceSusanBAnthony.html,48.127466,-1.655232,2017-03-20
Rue Aimée Antignac,/Rue_Aim%C3%A9e_Antignac,RueAiméeAntignac.html,48.1075449,-1.7023053,2006-10-02
Antoinette Caillot,/Antoinette_Caillot,AntoinetteCaillot.html,48.107267,-1.6821469,None
Boulevard Jeanne d'Arc,/Boulevard_Jeanne_d%27Arc,BoulevardJeannedArc.html,48.11143,-1.65756,None
Allée Florence Arthaud,/All%C3%A9e_Florence_Arthaud,AlléeFlorenceArthaud.html,48.09926,-1.695077,2017-12-04
Place Lucie et Raymond Aubrac,/Place_Lucie_et_Raymond_Aubrac,PlaceLucieetRaymondAubrac.html,48.13072,-1.657007,2014-01-20
Rue Raymond et Lucie Aubrac,/Rue_Raymond_et_Lucie_Aubrac,RueRaymondetLucieAubrac.html,0,0,None
Promenade Hubertine Auclert,/Promenade_Hubertine_Auclert,PromenadeHubertineAuclert.html,48.12926,-1.67692,2019-04-01
Avenue Charles et Raymonde Tillon,/Avenue_Charles_et_Raymonde_Tillon,AvenueCharlesetRaymondeTillon.html,48.1270706,-1.6868659,None
Rue Barbara,/Rue_Barbara,RueBarbara.html,48.0864849,-1.6019835,None
Rue Victor et Ilona Basch,/Rue_Victor_et_Ilona_Basch,RueVictoretIlonaBasch.html,48.1222638,-1.6515507,None
Jardin Simone de Beauvoir,/Jardin_Simone_de_Beauvoir,JardinSimonedeBeauvoir.html,48.1167,-1.6885,2014-01-20
Place Simone de Beauvoir,/Place_Simone_de_Beauvoir,PlaceSimonedeBeauvoir.html,48.117597,-1.688818,None
Square Marie Bérenger,/Square_Marie_B%C3%A9renger,SquareMarieBérenger.html,48.093126,-1.688415,2014-01-20
Allée Marie Berhaut,/All%C3%A9e_Marie_Berhaut,AlléeMarieBerhaut.html,48.1327514,-1.6821553,2001-02-05
Square Sarah Bernhardt,/Square_Sarah_Bernhardt,SquareSarahBernhardt.html,48.0914398,-1.6807236,1962-03-08
Promenade Hélène Bertaux,/Promenade_H%C3%A9l%C3%A8ne_Bertaux,PromenadeHélèneBertaux.html,48.132681,-1.694561,2013-03-18
Rue Louise de Bettignies,/Rue_Louise_de_Bettignies,RueLouisedeBettignies.html,48.0910765,-1.6904786,1938-10-27
Passage Rosa Bonheur,/Passage_Rosa_Bonheur,PassageRosaBonheur.html,48.103051,-1.662837,None
Rue Hélène Boucher,/Rue_H%C3%A9l%C3%A8ne_Boucher,RueHélèneBoucher.html,48.11664,-1.68923,1953-04-13
Mail Louise Bourgeois,/Mail_Louise_Bourgeois,MailLouiseBourgeois.html,48.1027315,-1.6626949,2011-02-21
Rue Cécile Brunschvicg,/Rue_C%C3%A9cile_Brunschvicg,RueCécileBrunschvicg.html,48.0932094,-1.6647923,2006-11-06
Esplanade Julie-Rose Calvé,/Esplanade_Julie-Rose_Calv%C3%A9,EsplanadeJulieRoseCalvé.html,48.108635,-1.697279,2017-03-20
Rue Madame du Campfranc,/Rue_Madame_du_Campfranc,RueMadameduCampfranc.html,48.1034315,-1.6515131,None
Mail Anne Catherine,/Mail_Anne_Catherine,MailAnneCatherine.html,48.1042631,-1.6851800301342,None
Rue Edith Cavell,/Rue_Edith_Cavell,RueEdithCavell.html,48.111375850629045,-1.6778181195695652,None
Square Claire et Guy Champollion,/Square_Claire_et_Guy_Champollion,SquareClaireetGuyChampollion.html,48.0926458,-1.6601677433206108,2004-07-12
Chantal Connan,/Chantal_Connan,ChantalConnan.html,48.08855,-1.65048,2019-01-21
Charlotte Delbo,/Charlotte_Delbo,CharlotteDelbo.html,48.108,-1.6495,2017-03-20
Place Jeanne Chauvin,/Place_Jeanne_Chauvin,PlaceJeanneChauvin.html,48.118586,-1.670827,2017-12-04
Rue Marie-Louise Chevrel-Bodin,/Rue_Marie-Louise_Chevrel-Bodin,RueMarieLouiseChevrelBodin.html,48.1206969,-1.6994703,2017-01-30
Jardin Anne Cogné,/Jardin_Anne_Cogn%C3%A9,JardinAnneCogné.html,48.111469,-1.687765,2017-03-20
Rue Colette,/Rue_Colette,RueColette.html,48.2056624,-1.5106513,2003-07-09
Colette Cosnier,/Colette_Cosnier,ColetteCosnier.html,0,0,None
Promenade Renée Conan,/Promenade_Ren%C3%A9e_Conan,PromenadeRenéeConan.html,48.110157,-1.69374,2014-01-20
Passage Anita Conti,/Passage_Anita_Conti,PassageAnitaConti.html,48.10302,-1.673153,2017-12-04
Allée Colette Cosnier,/All%C3%A9e_Colette_Cosnier,AlléeColetteCosnier.html,48.125095,-1.676038,2018-03-19
Rue Jeanne Couplan,/Rue_Jeanne_Couplan,RueJeanneCouplan.html,48.1149572,-1.6421748,1953-04-13
